timestamp,arbitration_id,extended,remote,error,dlc,data
1753812802.2679613,0x133,0,0,0,5,AAAAAAE=
1753812802.267967,0x13c,0,0,0,8,AAwAOAAABA0=
1753812802.268205,0x158,0,0,0,8,AAAAAAAAAAo=
1753812802.2684207,0x161,0,0,0,8,BXgFeCAIAA4=
1753812802.2686553,0x17c,0,0,0,8,AAAC7QAAAAc=
1753812802.2688036,0x18e,0,0,0,3,CAAJ
1753812802.2690763,0x191,0,0,0,8,AQAAoUCAfzw=
1753812802.269234,0x1cf,0,0,0,8,gAUAAAAEACk=
1753812802.269473,0x1dc,0,0,0,4,AgLtLQ==
1753812802.2695782,0x1ed,0,0,0,3,Af8r
1753812802.2732794,0x156,0,0,0,6,ACsAAAcX
1753812802.2733378,0x1fb,0,0,0,1,Og==
1753812802.2735665,0x1e2,0,0,0,4,EFXwHA==
1753812802.2749107,0x91,0,0,0,8,gAAIFgUAACA=
1753812802.274946,0x19b,0,0,0,5,AAAAACE=
1753812802.2767909,0x183,0,0,0,8,AAAAMgAAADQ=
1753812802.2783036,0x133,0,0,0,5,AAAAABA=
1753812802.2783318,0x13c,0,0,0,8,AAsAOAAABB0=
1753812802.2783356,0x158,0,0,0,8,AAAAAAAAABk=
1753812802.278445,0x161,0,0,0,8,BXgFeCAIAB0=
1753812802.2786007,0x17c,0,0,0,8,AAAC7QAAABY=
1753812802.2791197,0x18e,0,0,0,3,CAAY
1753812802.2791474,0x191,0,0,0,8,AQAAoUCAfw8=
1753812802.27933,0x1a6,0,0,0,8,BAAgUk+AAIc=
1753812802.283864,0x156,0,0,0,6,ACsAAAcm
1753812802.2842817,0x1eb,0,0,0,2,ACw=
1753812802.2844439,0x91,0,0,0,8,gAAIFgUAAD8=
1753812802.2848983,0x19b,0,0,0,5,AAAAADA=
1753812802.284925,0x1a4,0,0,0,8,AGYQAAAAADk=
1753812802.2854261,0x183,0,0,0,8,AAAANAAAAAU=
1753812802.285454,0x1a8,0,0,0,4,AAAAMg==
1753812802.2854576,0x1aa,0,0,0,8,f/8AAAAAZjA=
1753812802.285874,0x1b0,0,0,0,7,AAAAAAABdA==
1753812802.2859,0x1d0,0,0,0,8,AAAAAAAAAAo=
